text,daya_tarik,amenitas,aksesibilitas,citra,harga,sdm
"#LetsGuide Wisata Alam yang berubaH menjadi terang-benderang dikala malam, ditemani lampu-lampu cahaya. Spot Foto y lumayan banyak, mampirlah..",positif,none,none,positif,none,none
#Nuansa Alam didalam Kota Metropolitan,none,none,none,netral,none,none
", enak buat kumpul ,dan bersantai bareng keluarga ,menikmati panorama hutan ...",positif,none,none,positif,none,none
....hutan kota yang harus tetap dilestarikan dan tidak digerogoti lahannya😎😎😎😎 …,none,none,none,netral,none,none
❤,none,none,none,none,none,none
"19 November 2017 INSTAGRAMmmebel. bayank spot2 buat poto2, sejuk juga krn panyak pinus2 yg menjulang tinggi. cocok bgt untuk liburan keluarga... bayar nya jg murah.. favorite banget untuk t4 kumpul keluarga2, piknik dsb.",positif,none,none,positif,positif,none
"30.000 untuk dewasa, 25.000 untuk anak anak. mobil 10.000 sayangnya karena pandemi, tidak bisa lihat gajah dan hewan hewan lain. hanya monyet, boatnya oke, bebeknya oke. ada tempat minum kopi klo mau ngopi, pinus coffee",netral,positif,none,none,netral,none
"Ada bbrp wahana disini, yang untk masuk ke tiap wahana mesti pakai tiket selain tiket masuk. Ada miniatur landmark dunia. Kolam, bisa main bebek2an. Kolam renang. Kebun Binatang. Mungkin ada yg lain tp tidak sempat lihat. (-) secara keseluruhan kurang terawat. Mungkin kurang anggaran? (+) pohon2 memberi kesegaran di tengah kota Plmbg.",positif,none,none,negatif,none,none
"Ada beberapa bangunan tiruan yang dibuat sebagai lambang suatu negara seperti piramida dan unta yang berasal dari mesir. Pengunjung perlu membayar kurang lebih 70.000 per orang untuk masuk ke sini. Perlu diingat, pengunjung perlu membawa makanan karena di sana tidak ada penjual makanan atau minuman.",netral,negatif,none,none,netral,none
Ada berbagai wahana yang bagus,positif,none,none,none,none,none
Ada lapangan tenis untuk olahraga,netral,none,none,none,none,none
Ada miniatur dunia..logo-logo terkenal di dunia ada..seperti menara effell(prancis)..patung liberti(amerika serikat) dan lain-lain..namun koleksi hewan-hewan tidak memuaskan..tidak terurus dan koleksi hewannya masyarakat umum juga punya..,negatif,none,none,negatif,none,none
Ada monyet wkwkwwk,netral,none,none,none,none,none
"Ada potensi jadi bagus seperti kebun raya bogor, jalannya kekecilan gabisa masuk bus, plang nya kurang terlihat dari jalan",none,negatif,negatif,netral,none,none
Ada tempat renang juga,netral,none,none,none,none,none
Ada waterboomnya..,netral,none,none,none,none,none
"Adanya punti kayu sejak dulu sangat menyenangkan. akan tetapi, kurang begitu terawat. Terutama yg ada di farm zone dan rumah hobit. Terlihat sudah banyak semak2, kemudian2 satwa2 yg ada baik kandang dan satwa itu sendiri kurang terawat. Harapannya kedepan punti kayu semakin baik, sehingga membuat masyarakat sumsel antusias untuk datang ke punti kayu.",none,none,none,negatif,none,none
Adem,none,none,none,positif,none,none
Adem & dingin,none,none,none,positif,none,none
Adem ayem dan tentrem,none,none,none,positif,none,none
"adem sejuk buat santai 1000 orang, (penyerahan SK perhutanan sosial presiden republik indonesia)",none,none,none,positif,none,none
"Adem, banyak monyetnya",netral,none,none,positif,none,none
Agak canggung...,none,none,none,netral,none,none
Agak kurang terurus.. mungkin karena covid jadi sepi,none,none,none,negatif,none,none
Agk kurang bagus karena banyak monyet liar,negatif,none,none,negatif,none,none
Ahhhhh mantab,none,none,none,positif,none,none
Ajak keluarga anda kesini,none,none,none,positif,none,none
Ajak keluarga berlibur di sini. Lumayan bikin senang. Santai dan alami,none,none,none,positif,none,none
Ajiiib serasa di Paris,none,none,none,positif,none,none
"Akibat Gubernur Dan Walikota Ya Kurang berkopeten Sehingga Tidak bisa memanfaatkan Hutan kota ini Menjadi Penggerak Ekonomi dalam Kota di bidang pariwisata di kota palembang, Dan saya lihat estimasi Wisata di palembang itu sangat minim sehingga Kita pun yang ada di dalam Kota jadi bosan dan harus berwisata ke luar kota",none,none,none,negatif,none,none
"Aku masuk ke taman hewan, di gambarnya banyak hewan.. Pas mau masuk nanya dulu sama si mba penjual tiket ada apa aja. Kata dia ada kuda uler, dll.. Pas nyamoe dalem mana kudanya gk ada. Trus kandangnya gk kerawat. Ada beberapa kandang yang kosong cuma di isi ayam.",negatif,none,none,negatif,none,negatif
Aku suka berenang di waterpark punti kayu,netral,none,none,none,none,none
Aku tidak tahu tempat ini,none,none,none,netral,none,none
"Alam Punti Kayu adalah sebuah taman wisata yang menawarkan pengalaman alam yang sangat menakjubkan. Taman ini menampilkan keindahan alam yang masih asli dan menyediakan banyak aktivitas yang menyenangkan bagi pengunjungnya. Taman ini memiliki luas yang cukup besar dan terdiri dari beberapa area, seperti area camping, area trekking, dan area pemandian air terjun. Setiap area memiliki keunikan dan keindahan tersendiri yang dapat dinikmati oleh pengunjung. Area camping di Alam Punti Kayu sangat nyaman dan aman, dengan fasilitas yang lengkap seperti tempat tidur, toilet, dan dapur umum. Selain itu, pengunjung juga dapat menikmati suasana malam yang indah dengan api unggun dan bintang di langit. Area trekking menawarkan pengalaman berjalan di tengah hutan yang masih asli dan melihat berbagai macam flora dan fauna yang hidup di dalamnya. Pengunjung juga dapat menemukan air terjun yang indah dan menikmati suasana yang sejuk dan segar. Area pemandian air terjun merupakan salah satu spot favorit di Alam Punti Kayu. Pengunjung dapat mandi di kolam alami dan menikmati air terjun yang menenangkan. Selain itu, pengunjung juga dapat bersantai di tepi sungai dan menikmati pemandangan yang indah. Selain itu, Alam Punti Kayu juga memiliki fasilitas lain seperti restoran, lapangan voli pantai, dan panggung untuk acara musik. Taman ini juga sering digunakan sebagai tempat untuk acara outdoor, seperti acara pernikahan, pertunjukan seni, dan lain sebagainya. Secara keseluruhan, Alam Punti Kayu adalah tempat yang luar biasa untuk dikunjungi. Taman ini menawarkan keindahan alam yang masih asli dan banyak aktivitas yang menyenangkan untuk dinikmati. Saya sangat merekomendasikan tempat ini untuk dijadikan tujuan wisata bagi siapa saja yang mencari pengalaman alam yang berbeda dan menyenangkan.",positif,positif,none,positif,none,none
"Alam yang baik, indah",positif,none,none,positif,none,none
Alam...,netral,none,none,none,none,none
Alami,none,none,none,positif,none,none
Alami dan asri. Udaranya segarrr...,none,none,none,positif,none,none
Alami terbentur,none,none,none,positif,none,none
"Alami, sejuk dan banyak pepohonan. sebagai hutan kota sangat cocok dari lokasi dan isinya. namun demikian pengelolaan yang kurang profesional membuat taman ini agak seram.. terkesan angker..ditambah berbagai fasilitas yang kurang memadai. baiknya dikelola saja oleh swasta yang profesional dan berpengalaman sehingga kesan2 itu bisa hilang...bisa tambah ramai dan jadi tambahan PAD bagi Provinsi",positif,negatif,none,netral,none,none
"Alami, udara sejuk. Cuma hewannya kurang menarik",negatif,none,none,netral,none,none
Alamnya sejuk di tengah kota,none,none,none,positif,none,none
"Alhamdulillah bisa berkunjung bersama keluarga besar alumni SMPN Mulyo Asri 1986 (SMPN 1 Tulang Bawang Tengah) ke Destinasi Wisata Alam Hutan Kota Palembang, Sumatera Selatan yang masih asri, 14 November 2021. Tempat ini cocok untuk study dan pengenalan lingkungan baik flora maupun fauna. Sayang kurang terawat, hewan-hewan yang ada tampak merana. Kedepan agar ditata lebih sehat lagi.",negatif,none,none,netral,none,none
"Alhmdulilahnya kmi ksni pas bru 1minggu buka, klo ga covid psti bgus bngt,.. sblm nya tutup lama katanya",none,none,none,netral,none,none
